class,text
Pos,Another great James Stewart story in today's NY Times about importance of architecture in @apple retail success http://t.co/Kniz452s
Neutral,bored - need a new intriguing #app for my #iPad.  Any suggestions?  @apple #yyc @Gadget_Guy
Neutral,on that @Apple shit hard change my twitter name to @_iFynest
Neutral,@Apple will be rolling out iPhone 4S to more than 20 more countries by the end of the month.
Neg,screw you @apple iOS 5. I can't download this crap and I'm tired of trying. Get this problem figured out about my connection timing out
Pos,RT @herahussain: @RickySinghPT got a new backside for my eye phone! V impressed with @apple
Pos,@apple Cards app notifies me the card I sent has arrived at local post office and should be delivered today... Sunday. Truly is #magic.
Neg,@apple domain fail. Open 2 hrs late for walk in ppl. Store was empty and i only need a skin 4 my screen. You represent customer service FAIL
Neutral,This is better than *every* magazine having their own #app! @EatMagazine @Apple supports magazines. #Ipad upgrade adds Newsstand #app
Neg,@apple WTF why can we not add the newsstand to a folder?! We are already in your walled garden so please don't remind us of it.
Neg,Why doesn't @apple iCloud sync Stickies? They've always been around just nothing every progressed w/ them!! Why apple why?  @gruber
Neutral,@RhiannaRaee hanging @apple in tacoma listening to the beatles!
Neutral,@leg3nd @apple the new iPhone?
Neutral,@Apple to shut stores!!! C'mon Only Wednesday for @SteveJobs memorial.
Neutral,Just made the switch from @BlackBerry  to @apple and never looking back! #bbwho?
Neutral,@apple http://t.co/2YcsCG68 via @donorschoose
Pos,Another mention for Apple Store: http://t.co/fiIOApKt - RT @floridamike Once again getting great customer service from the @apple store ...
Neg,Wow the Genius Bar Reservation Line @Apple is ridic right now - ___- I am not amused. #ugh
Pos,I am crazy about #iOS5 . The photo cropping is the best! @apple
Neutral,ok it is back @iphone @apple
Neutral,@apple karaoke ceel w/ @nandamaulida @putriasmara @galuhoktriana @milatus :p
Pos,i love this. so much. thank you @apple.  http://t.co/Ui8lOEzX
Neg,@twitter can you look at problem on iPad where it won't open @ messages. It just crashes the app. You too @apple maybe your fault.
Pos,Been off twitter for a few days as I smashed my iPhone but @apple were very nice and gave me a new one :)
Neg,One would think the voice recognition on the @apple tech support line would work a little better.
Neg,@APPLE Wow @MOTOROLA Just crushed your dreams....
Pos,Kind of excited. On my way to my last class right now and then going to the @Apple store so buy #MacOSC Snow Leopard and Lion :-)
Neutral,Siri says some weird things | This is my next... http://t.co/H8n7caSg via @verge @hasanga @mohoisham @apple #Siri #LMFAO
Pos,New iOS 5 update is THE BEST. iloveyou @apple
Neutral,So apparently that's not the correct @apple
Neutral,While the improvements in @Apple Mac OS 10.7 #Lion are great the full-screen implementation on 2 monitors is broken.
Neg,@Wisconsin_Mommy @apple that's terrible!  I hope you get an apology!
Neutral,iPhone 4S: Setup SIRI for your Tweets. http://t.co/uecqHL6k @apple #apple #iphone #siri
Neg,@FishMama: If you made a purchase just wait for the @apple survey! hate going b/c of the bad #custserv
Pos,@apple just got the new iOS5 upgrade with iMessage...good luck surviving now @BlackBerry
Neg,@samsung @apple you do realise you're just really pissing off the customer base AS WELL AS looking petty.
Neg,@trisha_ps @iCloud is Cloudy. @apple tech not very techy.
Neg,not happy with @apple right now. the upgrade to my itouch4 took out my itouch and laptop. #help
Neutral,OK @apple your accessories policy is out of hand. I need a powered line in to use the mic? Are you KIDDING ME?
Neg,Overall I am a fan of the iPhone 4S; however my Siri has issues connecting to the network @Apple
Neg,#iPad in perpetual restore loop after trying to upgrade to #iOS5 :(@apple sux without steve
Neutral,@Apple Why do you have a volume control in the fast app switcher!? Buttons. Volume buttons. You have them. Give me a brightness slider! #wtf
Pos,you are so blessed. @apple
Neutral,@BeeeThree I am aye I wasn't @apple
Neutral,Can someone explain to me how the hell iMessage differs from a text message? @Apple #fb
Neg,This does not bode well. After charging all night my @Apple iPhone 4S has 25% battery after only 3hr off charger with no calls & light use
Neg,You can make photo albums in the Photos app with iOS 5 but can't password protect them? Um... @apple fix that. Quickly.
Neutral,Hey @Apple could you hook the voice memos app on the iPhone up with fine scrubbing? Journalists need love too.
Pos,Love love love iOS 5!! @apple
Neutral,@apple @iphone sold more because its in more retail duhhhh. Also woz is correct people dont want tech answer just simple child like ones ok!
Neutral,Go big or go home @Apple users - here are some apps that make your #4s iPhone s-s-super http://t.co/t74BQyim via @mashable - MS
Neg,Is it too much to ask which app is incompatible @apple? http://t.co/yKqip7nk
Neg,2nd @apple genius apptment running late 2nd day in row for 2nd dodgy iPod . You make mega $$$ hire some staff.
Neg,@apple just now seeing none of my Microsoft Office programs work anymore after Lion upgrade. Why??
Neutral,#SaturdayCute: Shit That #Siri Says. @Apple designers knew what people were going to ask the new digital assistant... http://t.co/Ecji1iIo
Neg,The new iOS5 completely failed at upgrading the phone. Now I'm stuck in this restore loop. Thanks @apple for wasting my day. Can i undo?
Neutral,If you sign up for iClould will you also get iRain? @apple #icloud.
Neutral,@cnbcfastmomey what price should I sell @apple for
Neutral,@azee1v1 @apple @umber Better file info/easier to get to duplication of files when importing. Categorizing files.
Neutral,De la nada mi #iPhone4 se fue a negro y empez a vibrar hubo que resetearlo que onda con #iOS5 WTFH @Apple
Neg,@ryanbaldwin @apple So in iTunes I go Store -&gt; Authorise why doesn't it just auto-authorise it when I sign into iTunes? Grrrr...
Pos,Play on ma man. Loving the camera in the #iphone4s. Well done @apple  #fb http://t.co/tmdFqRe1
Neutral,Win an @Apple iPod Touch from @Mommy_gaga get the @Pampers Hello World Baby Memories App! http://t.co/XVcch6Os #PampersHelloApps
Neg,Have never had such poor customer service at @Apple before! What happened? (@ Apple Store w/ 2 others) http://t.co/GKlXMUi6
Neg,@apple took my Siri and made it exclusive to iPhone 4S  #SoRude
Neutral,@AsgariAJ #iPhone need to tell @Apple that
Neutral,RT @edatpost: Bah! Genius BAR // RT @edatpost: .@Apple fan Eric Holder spotted at the Genius Store http://t.co/FTLttLPn
Neg,What happened? RT @xCuntNuggetx: Never purchasing another item from @apple.
Neutral,Apple sold 4 million iPhone 4S units on first weekend - Appletell: http://t.co/vs5r1oox #iPhone4S @Apple #fb
Neutral,Lemme just say iOS5 is mad cool BUT it needs A LOT of bug fixes @Apple
Neutral,@apple predicts #Siri in 1987 in video the video is staged for September 2011 http://t.co/tFNRP3MD
Neutral,how do you sync gmail contacts with your iphone? help please! @apple @gmail
Neutral,@Dropbox balked at acquisition by @Apple. My apps thank them. :)  http://t.co/VsYPl9Xu
Neutral,@apple out of respect I really do think  the Apple logo should be revised to the one you have no doubt seen http://t.co/xNKwgxme
Neutral,iPhone 4S: Setup SIRI for your Tweets. http://t.co/fZ216OiJ @apple #apple #iphone #siri
Neutral,Next year is going to be really interesting in tech as @Google @Amazon @Facebook and @Apple vie for new growth areas http://t.co/kkaKFsCH
Neutral,@apple y u run out of 64gb iPhone!? Now I have to settle for 32gb. Saved 100$ though(:#content
Neutral,Another shrewd business model move by @Amazon http://t.co/OQJRRYFq Rooting for the dark horse in the @facebook @google @apple war? #tech
Neutral,iPhone 4S: Setup SIRI for your Tweets. http://t.co/eyHmHSTM @apple #apple #iphone #siri
Neg,@NickTheFNicon He can send but not rcve txts so he has an apt @apple at 4pm.Then he exclaims: And I waited a whole YEAR for this phone!!LMAO
Neutral,Just had a look on eBay for iPhone 4s and some have 131624 bids at well over 500 some 530 (16gb white)  they are 499 delivered @apple
Neutral,How the community saw #SteveJobs - 12 Most #Community iCelebrates Steve Jobs - http://t.co/jJRwIvmc @Apple
Neutral,He asked Siri where's the hoes at & she told him where the nearest escorts were I love @apple
Neutral,Goodbye @Evernote Welcome #NotesintheCloud thx @Apple
Neutral,U pick Camera&Iphone4s orCamera&Ipad2?????????????? @apple
Neutral,Cool @apple / Steve Jobs infographic http://t.co/Prb5yx4X @MickH87 - timeline history
Neg,I will never purchase another @Apple product for the rest of my life. I am glad Steve Jobs is fucking dead. MAY YOU FUCKING ROT IN HELL!!!!!
Neutral,Stay young stay foolish. But take ownership when u f*ck up don't complain and never give up. #resilience @apple
Neutral,iPhone 4S First Weekend Sales Top Four Million: http://t.co/O7zqnY7K (via @apple)
Neutral,@Apple main office is #nowplaying  A milli - Lil Wayne.
Neutral,Steve's last Design is apparently the @apple #apple #iPhone 5 | http://t.co/DIfQTmwm
Neutral,waiting for Jacob @fairview @apple storeee
Neg,@Blackberry does take better quality photos than @Apple iPhone though. I give them that! #photograhersEye
Neg,Total chaos at @apple store regent street. Like an Ethiopian feeding station. Can't believe this is same co. that makes all that cool shit.
Neutral,Dear @motorola I smell a lawsuit coming your way. cc: @apple #motoactv
Pos,Using my awsome iPad... I love it. I love my MacBook too and my iPod. It's all amazing! I love @apple
Neg,@twalve @apple you know the issues they have with DST and alarms :p
Neutral,Easiest way to use Evernote with iPhone 4S Siri. Just tell Siri to Email Evernote and say your note. @evernote @apple #evernote #siri
Pos,@Apple: Siri is amazing!!! I'm in love!
Neutral,Just when #TomCruise thought he had a unique name for his daughter @Apple pulls the rug out from under him with the new #Siri App.
Neutral,@moLifer26 @apple When we find people standing in the middle of blood-soaked rooms saying Siri told me to? #noreallyihearvoices
Neutral,Why @Apple so valuable good analysis of trended profits iOS vs. Microsoft: Comparing the bottom lines  http://t.co/k9qst4R4 via @asymco
